id,primary_name,names_sindarin,names_quenya,names_other_languages,race,ancestors,descendants,spouse,alliances,origin_country,birth_place,birth_time,age,death_place,death_time,death_mode,titles,occupations,battles,era,sources
1,Aragorn,"Elessar; Estel","","","Man (Dúnedain)","Arathorn II; Gilraen","Eldarion","Arwen Undómiel","Dúnedain; Gondor; Arnor; The Fellowship of the Ring","Gondor/Arnor","Rivendell","T.A. 2931",210,"Minas Tirith","F.A. 120","natural causes","King of Gondor and Arnor; Chieftain of the Dúnedain","Ranger; King; Captain","War of the Ring; Battle of the Pelennor Fields; Battle of the Morannon","Third Age / Fourth Age","The Lord of the Rings; Appendices"
2,Frodo Baggins,"Iorhael","","","Hobbit","Drogo Baggins; Primula Brandybuck","","","–","The Shire; The Fellowship of the Ring","The Shire (Buckland)","T.A. 2968",53,"Leaves Middle-earth from the Grey Havens","T.A. 3021 / F.A. 2","sails West; leaves Middle-earth","Ring-bearer","Gentlehobbit; Ring-bearer","War of the Ring; Journey to Mount Doom","Third Age / Fourth Age","The Lord of the Rings"
3,Samwise Gamgee,"Perhael","","Sam","Hobbit","Hamfast Gamgee","Elanor; Frodo; Rose; Merry; Pippin; Goldilocks; Hamfast; Daisy; Primrose; Bilbo; Ruby; Robin; Tolman","Rosie Cotton","The Shire; The Fellowship of the Ring","The Shire","The Shire (near Hobbiton)","T.A. 2980",102,"Sails West (tradition)","F.A. 61 (tradition)","sails West; leaves Middle-earth (tradition)","Mayor of Michel Delving; Ring-bearer (briefly)","Gardener; Mayor","War of the Ring; Journey to Mount Doom","Third Age / Fourth Age","The Lord of the Rings; Appendices"
4,Gandalf,"Mithrandir","Olórin","","Maia","","","","The Istari; The Fellowship of the Ring; Valar","Valinor","Valinor (undisclosed)","Before the First Age","unknown","Leaves Middle-earth from the Grey Havens","T.A. 3021","sails West; leaves Middle-earth","Wizard; Istar; Counselor","Wizard; Counselor; Guide","War of the Ring; Battle of the Pelennor Fields; Battle of the Morannon","All Ages (incarnate in Third Age)","The Lord of the Rings; The Silmarillion; Unfinished Tales"
5,Legolas,"Legolas Greenleaf","","","Elf (Sindar)","Thranduil","","","–","Woodland Realm; The Fellowship of the Ring","Woodland Realm (Mirkwood)","Unknown (likely T.A.)","unknown","Sails West (with Gimli)","After F.A. 120 (inferred)","sails West; leaves Middle-earth","Prince of the Woodland Realm (implied)","Archer; Prince; Member of the Fellowship","War of the Ring; Battle of the Pelennor Fields; Battle of the Hornburg","Third Age / Fourth Age","The Lord of the Rings"
6,Gimli,"","","","Dwarf","Glóin","","","–","Durin's Folk; The Fellowship of the Ring","Erebor","Erebor","T.A. 2879","unknown","Sails West (with Legolas)","After F.A. 120 (inferred)","sails West; leaves Middle-earth","Lord of the Glittering Caves (tradition)","Warrior; Craftsman","War of the Ring; Battle of the Hornburg; Battle of the Pelennor Fields","Third Age / Fourth Age","The Lord of the Rings; Appendices"
7,Bilbo Baggins,"Bilba (in some tongues)","","","Hobbit","Bungo Baggins; Belladonna Took","","","–","The Shire","The Shire (Hobbiton)","T.A. 2890",131,"Leaves Middle-earth from the Grey Havens","T.A. 3021","sails West; leaves Middle-earth","Ring-bearer; Burglar","Adventurer; Writer","Quest of Erebor","Third Age / Fourth Age","The Hobbit; The Lord of the Rings"
8,Thorin Oakenshield,"Thorin II","","","Dwarf","Thráin II; grandson of Thrór","","","–","Durin's Folk; Company of Thorin","Erebor","Erebor","T.A. 2746",195,"Battle of the Five Armies","T.A. 2941","slain in battle","King under the Mountain","Warrior; King","Battle of the Five Armies","Third Age","The Hobbit; Appendices"
9,Elrond,"","","","Half-elf","Eärendil; Elwing","Elladan; Elrohir; Arwen","Celebrían","Rivendell; Last Alliance","Lindon/Rivendell","Havens of Sirion","F.A. 532 (tradition)","over 6500","Sails West from the Grey Havens","T.A. 3021","sails West; leaves Middle-earth","Lord of Rivendell; Herald of Gil-galad","Lord; Counselor; Healer","War of the Last Alliance; War of the Elves and Sauron; War of the Ring (indirect)","First Age / Second Age / Third Age","The Lord of the Rings; The Silmarillion; Unfinished Tales"
10,Galadriel,"Artanis; Nerwen","Galadriel (Sindarin form of Alatáriel)","Alatáriel","","Elf (Noldor)","Finarfin","Celebrían","Celeborn","Lothlórien; Noldor; White Council","Valinor/Lothlórien","Valinor","Y.T. (Years of the Trees)","unknown","Sails West from the Grey Havens","T.A. 3021","sails West; leaves Middle-earth","Lady of Lothlórien; Member of the White Council","Lady; Ruler; Counselor","War of the Ring; War of the Elves and Sauron (indirect)","First Age / Second Age / Third Age","The Lord of the Rings; The Silmarillion; Unfinished Tales"
11,Celeborn,"","","","Elf (Sindar)","Galadhon","Celebrían","Galadriel","Lothlórien","Doriath/Lothlórien","Doriath","First Age","unknown","Sails West (tradition)","","unknown","Lord of Lórien","Lord","War of the Ring","First/Second/Third Age","LOTR; UT"
12,Elros,"","","","Half-elf","Eärendil; Elwing","Vardamir","Unknown","Númenor","Númenor","Havens of Sirion","F.A. 532",500,"Númenor","S.A. 442","natural causes","First King of Númenor","King","—","First/Second Age","Silmarillion"
13,Isildur,"","","","Man (Dúnedain)","Elendil","Valandil","Unknown","Arnor; Gondor; Last Alliance","Arnor","Númenor","S.A. 3209",234,"Gladden Fields","T.A. 2","slain by orcs","King of Arnor and Gondor","King; Warrior","War of the Last Alliance","Second/Third Age","LOTR; Appendices"
14,Anárion,"","","","Man (Dúnedain)","Elendil","Meneldil","Unknown","Gondor","Gondor","Númenor","S.A. 3219",—,"Siege of Barad-dûr","S.A. 3440","killed by falling stone","King of Gondor","King","War of the Last Alliance","Second Age","LOTR; Appendices"
15,Elendil,"","","","Man (Dúnedain)","Amandil","Isildur; Anárion","Unknown","Arnor; Gondor; Last Alliance","Arnor","Númenor","S.A. 3119",322,"Barad-dûr","S.A. 3441","slain by Sauron","High King of the Dúnedain","King; Warrior","War of the Last Alliance","Second Age","LOTR; Appendices"
16,Eärendil,"","","","Half-elf","Tuor; Idril","Elrond; Elros","Elwing","Valar; Edain; Elves","Gondolin","Gondolin","F.A. 503",—,"Valinor","F.A.","ascended to the sky","Mariner","Mariner","War of Wrath (indirect)","First Age","Silmarillion"
17,Elwing,"","","","Half-elf","Dior; Nimloth","Elrond; Elros","Eärendil","Elves","Doriath","Doriath","F.A.","—","Valinor","F.A.","ascended","Lady","Lady","—","First Age","Silmarillion"
18,Finrod Felagund,"Findaráto","Findaráto","","Elf (Noldor)","Finarfin","—","—","Noldor","Valinor","Valinor","Y.T.","—","Sauron's dungeons","F.A. 465","killed by werewolf","King of Nargothrond","King","Dagor Bragollach; Beren's Quest","First Age","Silmarillion"
19,Fëanor,"Curufinwë","Fëanáro","","Elf (Noldor)","Finwë; Míriel","Seven Sons","Nerdanel","Noldor","Valinor","Valinor","Y.T.","—","Middle-earth","F.A. 1497","slain by Balrogs","High Prince of the Noldor","Smith; Lord","Kinslaying; Dagor-nuin-Giliath","First Age","Silmarillion"
20,Maedhros,"","","","Elf (Noldor)","Fëanor","—","—","Noldor","Valinor","Valinor","Y.T.","—","Thangorodrim","F.A. 587","suicide","Lord of Himring","Warrior","Nirnaeth Arnoediad","First Age","Silmarillion"
21,Maglor,"","","","Elf (Noldor)","Fëanor","—","—","Noldor","Valinor","Valinor","Y.T.","—","Unknown","F.A. 587","wandering exile","Minstrel","Minstrel","War of Wrath","First Age","Silmarillion"
22,Celegorm,"","","","Elf (Noldor)","Fëanor","—","—","Noldor","Valinor","Valinor","Y.T.","—","Doriath","F.A. 506","slain","Lord","Hunter","Hunting of Carcharoth","First Age","Silmarillion"
23,Caranthir,"","","","Elf (Noldor)","Fëanor","—","—","Noldor","Valinor","Valinor","Y.T.","—","Amon Ereb","F.A. 506","slain","Lord","Lord","Dagor Bragollach","First Age","Silmarillion"
24,Curufin,"","","","Elf (Noldor)","Fëanor","Celebrimbor","—","Noldor","Valinor","Valinor","Y.T.","—","Doriath","F.A. 506","slain","Lord","Smith","—","First Age","Silmarillion"
25,Amrod,"","","","Elf (Noldor)","Fëanor","—","—","Noldor","Valinor","Valinor","Y.T.","—","Havens of Sirion","F.A. 538","slain","Prince","Warrior","Kinslaying","First Age","Silmarillion"
26,Amras,"","","","Elf (Noldor)","Fëanor","—","—","Noldor","Valinor","Valinor","Y.T.","—","Havens of Sirion","F.A. 538","slain","Prince","Warrior","Kinslaying","First Age","Silmarillion"
27,Thingol,"Elu Thingol","Elwë","","Elf (Sindar)","Elmo","Lúthien","Melian","Doriath","Cuiviénen","Cuiviénen","Y.T.","—","Menegroth","F.A. 502","slain by dwarves","King of Doriath","King","First Battle of Beleriand","First Age","Silmarillion"
28,Melian,"","","","Maia","—","Lúthien","Thingol","Valar; Doriath","Valinor","Valinor","Before Time","—","Valinor","F.A. 502","returns West","Queen of Doriath","Maia","—","First Age","Silmarillion"
29,Lúthien,"Tinúviel","Lúthien","","Half-elf","Thingol; Melian","Dior","Beren","Doriath","Doriath","Doriath","Y.T.","—","Unknown","F.A.","dies of grief","Princess","Singer","Quest of the Silmaril","First Age","Silmarillion"
30,Beren,"","","","Man (Edain)","Barahir","Dior","Lúthien","Edain","Dorthonion","Dorthonion","F.A.","—","Unknown","F.A.","dies of wounds","Hero","Hunter","Quest of the Silmaril","First Age","Silmarillion"
31,Túrin Turambar,"","","","Man (Edain)","Húrin; Morwen","—","Níniel (Nienor)","Edain","Dor-lómin","Dor-lómin","F.A. 464",—,"Cabed-en-Aras","F.A. 499","suicide","Lord of Dor-Cúarthol","Warrior","Battle of Tumhalad","First Age","Silmarillion"
32,Nienor,"Níniel","","","Man (Edain)","Húrin; Morwen","—","Túrin","Edain","Dor-lómin","Dor-lómin","F.A.","—","Cabed-en-Aras","F.A. 499","suicide","—","—","—","First Age","Silmarillion"
33,Húrin,"","","","Man (Edain)","Galdor","Túrin; Nienor","Morwen","Edain","Dor-lómin","Dor-lómin","F.A.","—","Brethil","F.A.","dies","Lord","Warrior","Nirnaeth Arnoediad","First Age","Silmarillion"
34,Morwen,"","","","Man (Edain)","Baragund","Túrin; Nienor","Húrin","Edain","Dor-lómin","Dor-lómin","F.A.","—","Brethil","F.A.","dies","Lady","Lady","—","First Age","Silmarillion"
35,Idril,"Celebrindal","","","Elf (Noldor)","Turgon","Eärendil","Tuor","Gondolin","Valinor","Valinor","Y.T.","—","Unknown","F.A.","sails West","Princess","Lady","Fall of Gondolin","First Age","Silmarillion"
36,Tuor,"","","","Man (Edain)","Huor","Eärendil","Idril","Gondolin","Dor-lómin","Dor-lómin","F.A.","—","Unknown","F.A.","sails West","Lord","Warrior","Fall of Gondolin","First Age","Silmarillion"
37,Turgon,"","","","Elf (Noldor)","Fingolfin","Idril","Elennel (deceased)","Gondolin","Valinor","Valinor","Y.T.","—","Gondolin","F.A. 510","slain","King of Gondolin","King","Fall of Gondolin","First Age","Silmarillion"
38,Fingolfin,"","","","Elf (Noldor)","Finwë","Fingon; Turgon; Aredhel","Unknown","Noldor","Valinor","Valinor","Y.T.","—","Angband","F.A. 456","slain by Morgoth","High King of the Noldor","King","Dagor Bragollach","First Age","Silmarillion"
39,Fingon,"","","","Elf (Noldor)","Fingolfin","—","—","Noldor","Valinor","Valinor","Y.T.","—","Nirnaeth Arnoediad","F.A. 472","slain","King of the Noldor","Warrior","Nirnaeth Arnoediad","First Age","Silmarillion"
40,Aredhel,"Ar-Feiniel","","","Elf (Noldor)","Fingolfin","Maeglin","Eöl","Noldor","Valinor","Valinor","Y.T.","—","Nan Elmoth","F.A. 400","killed","Princess","Lady","—","First Age","Silmarillion"
41,Eöl,"","","","Elf (Sindar)","—","Maeglin","Aredhel","Sindar","Doriath","Doriath","F.A.","—","Gondolin","F.A. 400","executed","Smith","Smith","—","First Age","Silmarillion"
42,Maeglin,"","","","Elf (Noldor/Sindar)","Eöl; Aredhel","—","—","Gondolin","Nan Elmoth","Nan Elmoth","F.A.","—","Gondolin","F.A. 510","thrown from walls","Lord","Smith","Fall of Gondolin","First Age","Silmarillion"
43,Glorfindel,"","","","Elf (Noldor)","—","—","—","Rivendell; Gondolin","Valinor","Valinor","Y.T.","—","Gondolin / Rivendell","F.A. 510 / T.A.","slain / reincarnated","Lord","Warrior","Fall of Gondolin; War of the Ring","First/Third Age","LOTR; Silmarillion"
44,Galdor of the Havens,"","","","Elf (Sindar)","—","—","—","Grey Havens","Falassë","Falassë","T.A.","—","Grey Havens","T.A.","unknown","Lord","Messenger","War of the Ring","Third Age","LOTR"
45,Círdan,"The Shipwright","","","Elf (Teleri)","—","—","—","Grey Havens; White Council","Cuiviénen","Cuiviénen","Y.T.","—","Grey Havens","T.A. 3021","remains in Middle-earth","Lord of the Havens","Shipwright","War of the Ring (indirect)","All Ages","LOTR; Silmarillion"
46,Gothmog,"","","","Balrog","—","—","—","Morgoth","Angband","Angband","F.A.","—","Gondolin","F.A. 510","slain","Lord of Balrogs","General","Dagor Bragollach; Fall of Gondolin","First Age","Silmarillion"
47,Durin I,"","","","Dwarf","—","—","—","Durin's Folk","Khazad-dûm","Khazad-dûm","First Age","—","Khazad-dûm","—","natural causes","King of Durin's Folk","King","—","First Age","Appendices"
48,Durin VI,"","","","Dwarf","—","Náin I","—","Durin's Folk","Khazad-dûm","Khazad-dûm","T.A.","—","Khazad-dûm","T.A. 1980","slain by Balrog","King of Khazad-dûm","King","—","Third Age","Appendices"
49,Balin,"","","","Dwarf","Fundin","—","—","Durin's Folk","Erebor","Erebor","T.A. 2763",—,"Moria","T.A. 2994","slain","Lord of Moria","Warrior","Quest of Erebor","Third Age","Hobbit; Appendices"
50,Dwalin,"","","","Dwarf","Fundin","—","—","Durin's Folk","Erebor","Erebor","T.A. 2772",340,"Erebor","F.A. 91","natural causes","Lord","Warrior","Quest of Erebor","Third/Fourth Age","Hobbit; Appendices"
51,Bifur,"","","","Dwarf","—","—","—","Durin's Folk","Erebor","Erebor","T.A.","—","Erebor","—","unknown","—","Warrior","Quest of Erebor","Third Age","Hobbit"
52,Bofur,"","","","Dwarf","—","—","—","Durin's Folk","Erebor","Erebor","T.A.","—","Erebor","—","unknown","—","Warrior","Quest of Erebor","Third Age","Hobbit"
53,Bombur,"","","","Dwarf","—","—","—","Durin's Folk","Erebor","Erebor","T.A.","—","Erebor","—","unknown","—","Warrior","Quest of Erebor","Third Age","Hobbit"
54,Oin,"","","","Dwarf","Gróin","—","—","Durin's Folk","Erebor","Erebor","T.A. 2774",—,"Moria","T.A. 2994","slain","—","Warrior","Quest of Erebor","Third Age","Hobbit"
55,Gloin,"","","","Dwarf","Gróin","Gimli","—","Durin's Folk","Erebor","Erebor","T.A. 2783",—,"Erebor","F.A.","natural causes","—","Warrior","Quest of Erebor","Third/Fourth Age","Hobbit; LOTR"
56,Thranduil,"","","","Elf (Sindar)","Oropher","Legolas","—","Woodland Realm","Doriath","Doriath","F.A.","—","Woodland Realm","Fourth Age","natural causes","King of Mirkwood","King","War of the Ring","First/Third/Fourth Age","LOTR; Hobbit"
57,Oropher,"","","","Elf (Sindar)","—","Thranduil","—","Woodland Realm","Doriath","Doriath","F.A.","—","Dagorlad","S.A. 3434","slain","King","Warrior","War of the Last Alliance","First/Second Age","Silmarillion; UT"
58,Bard the Bowman,"","","","Man","Girion","Bain","Unknown","Dale","Dale","Dale","T.A.","—","Dale","T.A.","natural causes","King of Dale","Archer","Battle of Five Armies","Third Age","Hobbit"
59,Girion,"","","","Man","—","Bard","—","Dale","Dale","Dale","T.A.","—","Dale","T.A.","slain by Smaug","Lord of Dale","Lord","—","Third Age","Hobbit"
60,Bain,"","","","Man","Bard","Brand","—","Dale","Dale","Dale","T.A.","—","Dale","T.A.","natural causes","King of Dale","King","—","Third Age","Appendices"
61,Brand,"","","","Man","Bain","Bard II","—","Dale","Dale","Dale","T.A.","—","Dale","T.A. 3019","slain","King of Dale","King","War of the Ring","Third Age","Appendices"
62,Bard II,"","","","Man","Brand","—","—","Dale","Dale","Dale","T.A.","—","Dale","Fourth Age","natural causes","King of Dale","King","—","Third/Fourth Age","Appendices"
63,Théoden,"","","","Man (Rohirrim)","Thengel","Théodred","Elfhild","Rohan","Rohan","Edoras","T.A. 2948",71,"Pelennor Fields","T.A. 3019","slain in battle","King of Rohan","King; Rider","Battle of the Pelennor Fields","Third Age","LOTR"
64,Éomer,"","","","Man (Rohirrim)","Éomund; Théodwyn","Elfwine","Lothíriel","Rohan; Fellowship (ally)","Rohan","Aldburg","T.A. 2991",93,"Rohan","F.A. 63","natural causes","King of Rohan","King; Marshal","Battle of the Pelennor Fields; Battle of the Morannon","Third/Fourth Age","LOTR; Appendices"
65,Éowyn,"Dernhelm","","","Man (Rohirrim)","Éomund; Théodwyn","Elboron","Faramir","Rohan; Gondor","Rohan","Edoras","T.A. 2995",—,"Gondor","Fourth Age","natural causes","Lady of Ithilien","Shieldmaiden","Battle of the Pelennor Fields","Third/Fourth Age","LOTR"
66,Faramir,"","","","Man (Dúnedain of Gondor)","Denethor II; Finduilas","Elboron","Éowyn","Gondor","Gondor","Minas Tirith","T.A. 2983",—,"Ithilien","Fourth Age","natural causes","Prince of Ithilien; Steward of Gondor","Captain; Steward","Battle of Osgiliath; Battle of the Pelennor Fields","Third/Fourth Age","LOTR"
67,Denethor II,"","","","Man (Dúnedain of Gondor)","Ecthelion II","Boromir; Faramir","Finduilas","Gondor","Gondor","Minas Tirith","T.A. 2930",89,"Minas Tirith","T.A. 3019","suicide","Steward of Gondor","Steward","Siege of Gondor","Third Age","LOTR"
68,Boromir,"","","","Man (Dúnedain of Gondor)","Denethor II; Finduilas","—","—","Gondor; Fellowship","Gondor","Minas Tirith","T.A. 2978",41,"Amon Hen","T.A. 3019","slain by orcs","Captain of the White Tower","Captain","Breaking of the Fellowship","Third Age","LOTR"
69,Peregrin Took,"Pippin","","","Hobbit","Paladin Took II","Faramir Took I","Diamond of Long Cleeve","The Shire; Gondor","The Shire","Tuckborough","T.A. 2990",—,"Gondor","F.A. 63","natural causes","Thain of the Shire","Knight of Gondor","War of the Ring","Third/Fourth Age","LOTR"
70,Meriadoc Brandybuck,"Merry","","","Hobbit","Saradoc Brandybuck","—","Estella Bolger","The Shire; Rohan","The Shire","Buckland","T.A. 2982",—,"Rohan","F.A. 63","natural causes","Master of Buckland","Knight of Rohan","War of the Ring","Third/Fourth Age","LOTR"
71,Saruman,"Curunír","Curumo","","Maia","—","—","—","Istari; White Council","Valinor","Valinor","Before First Age","—","The Shire","T.A. 3019","killed by Gríma","Head of the White Council","Wizard","War of the Ring","All Ages","LOTR; UT"
72,Gríma Wormtongue,"Wormtongue","","","Man","Gálmód","—","—","Rohan; Isengard","Rohan","Rohan","T.A.","—","The Shire","T.A. 3019","killed","Counselor","Spy","War of the Ring","Third Age","LOTR"
73,Treebeard,"Fangorn","","","Ent","—","—","—","Ents","Fangorn","Fangorn","First Age?","—","Fangorn","Fourth Age","unknown","Elder Ent","Shepherd of the Trees","Battle of Isengard","All Ages","LOTR"
74,Quickbeam,"Bregalad","","","Ent","—","—","—","Ents","Fangorn","Fangorn","First Age?","—","Fangorn","Fourth Age","unknown","Ent","Shepherd","Battle of Isengard","All Ages","LOTR"
75,Tom Bombadil,"Iarwain Ben-adar","","","Unknown","—","—","Goldberry","Old Forest","Unknown","Unknown","Timeless","—","Unknown","—","unknown","Master","—","—","Unknown","LOTR"
76,Goldberry,"River-daughter","","","Unknown","—","—","Tom Bombadil","Old Forest","Unknown","River Withywindle","Timeless","—","Unknown","—","unknown","Lady","—","—","Unknown","LOTR"
77,Gollum,"Sméagol","","Trahald","Hobbit (Stoor)","—","—","—","None","Anduin Vale","Gladden Fields","T.A. 2430",589,"Mount Doom","T.A. 3019","fell into fire","Ring-bearer (briefly)","Fisher","War of the Ring","Third Age","LOTR"
78,Déagol,"","","","Hobbit (Stoor)","—","—","—","None","Anduin Vale","Gladden Fields","T.A.","—","Gladden Fields","T.A.","murdered by Sméagol","—","Fisher","—","Third Age","LOTR"
79,Radagast,"Aiwendil","","","Maia","—","—","—","Istari","Valinor","Valinor","Before First Age","—","Rhosgobel","T.A.","unknown","Wizard","Wizard","—","All Ages","LOTR; UT"
80,Beorn,"","","","Skin-changer","—","Beornings","—","Beornings","Vales of Anduin","Vales of Anduin","T.A.","—","Vales of Anduin","T.A.","unknown","Chieftain","Shapeshifter","Battle of Five Armies","Third Age","Hobbit"
81,Bolg,"","","","Orc","Azog","—","—","Misty Mountains","Misty Mountains","Misty Mountains","T.A.","—","Battle of Five Armies","T.A. 2941","slain by Beorn","Orc-chieftain","Warlord","Battle of Five Armies","Third Age","Hobbit"
82,Azog,"","","","Orc","—","Bolg","—","Moria","Moria","Moria","T.A.","—","Azanulbizar","T.A. 2799","slain by Dáin Ironfoot","Orc-chieftain","Warlord","War of the Dwarves and Orcs","Third Age","Appendices"
83,Shagrat,"","","","Orc","—","—","—","Mordor","Mordor","Cirith Ungol","T.A.","—","Mordor","T.A.","unknown","Captain of Cirith Ungol","Captain","War of the Ring","Third Age","LOTR"
84,Gorbag,"","","","Orc","—","—","—","Mordor","Mordor","Minas Morgul","T.A.","—","Cirith Ungol","T.A. 3019","killed by Shagrat","Captain","Captain","War of the Ring","Third Age","LOTR"
85,Grishnákh,"","","","Orc","—","—","—","Mordor","Mordor","Mordor","T.A.","—","Rohan","T.A. 3019","slain by Rohirrim","Orc","Scout","War of the Ring","Third Age","LOTR"
86,Uglúk,"","","","Uruk-hai","—","—","—","Isengard","Isengard","Isengard","T.A.","—","Rohan","T.A. 3019","slain by Éomer's riders","Captain of Uruk-hai","Captain","War of the Ring","Third Age","LOTR"
87,Lurtz,"","","","Uruk-hai","—","—","—","Isengard","Isengard","Isengard","T.A.","—","Amon Hen","T.A. 3019","slain by Aragorn","Uruk-hai leader","Warrior","Breaking of the Fellowship","Third Age","Film-only"
88,Sharku,"","","","Orc","—","—","—","Isengard","Isengard","Isengard","T.A.","—","Rohan","T.A. 3019","slain","Warg-rider captain","Captain","Battle of Helm's Deep","Third Age","Film-only"
89,Gothmog (Lieutenant of Morgul),"","","","Man (possibly)","—","—","—","Mordor","Mordor","Minas Morgul","T.A.","—","Pelennor Fields","T.A. 3019","slain","Lieutenant of Morgul","Commander","Battle of the Pelennor Fields","Third Age","LOTR (uncertain identity)"
90,The Mouth of Sauron,"","","","Man (Black Númenórean)","—","—","—","Mordor","Mordor","Unknown","T.A.","—","Morannon","T.A. 3019","unknown","Lieutenant of Barad-dûr","Diplomat","Battle of the Morannon","Third Age","LOTR"
91,Elladan,"","","","Elf (Half-elven)","Elrond; Celebrían","—","—","Rivendell","Rivendell","Rivendell","T.A. 130",—,"Unknown","Fourth Age","unknown","Lord","Warrior","War of the Ring","Third/Fourth Age","LOTR; Appendices"
92,Elrohir,"","","","Elf (Half-elven)","Elrond; Celebrían","—","—","Rivendell","Rivendell","Rivendell","T.A. 130",—,"Unknown","Fourth Age","unknown","Lord","Warrior","War of the Ring","Third/Fourth Age","LOTR; Appendices"
93,Arwen Undómiel,"Evenstar","Undómiel","","Elf (Half-elven)","Elrond; Celebrían","Eldarion","Aragorn","Rivendell; Gondor","Rivendell","Rivendell","T.A. 241",2900+,"Lothlórien","F.A. 121","dies of grief","Queen of Gondor","Lady","War of the Ring (indirect)","Third/Fourth Age","LOTR"
94,Eldarion,"","","","Man (Dúnedain)","Aragorn; Arwen","—","—","Gondor","Gondor","Minas Tirith","F.A.","—","Gondor","Fourth Age","unknown","King of Gondor","King","—","Fourth Age","Appendices"
95,Halbarad,"","","","Man (Dúnedain)","—","—","—","Dúnedain","Arnor","Arnor","T.A.","—","Pelennor Fields","T.A. 3019","slain","Ranger","Ranger","Battle of the Pelennor Fields","Third Age","LOTR"
96,Glóin (Rivendell Council),"","","","Dwarf","Gróin","Gimli","—","Durin's Folk","Erebor","Erebor","T.A. 2783",—,"Erebor","F.A.","natural causes","Lord","Warrior","War of the Ring (council)","Third/Fourth Age","LOTR"
97,Forlong the Fat,"","","","Man","—","—","—","Gondor (Lossarnach)","Gondor","Lossarnach","T.A.","—","Pelennor Fields","T.A. 3019","slain","Lord of Lossarnach","Lord","Battle of the Pelennor Fields","Third Age","LOTR"
